type,id,name,price,quantity,category,extra_field,expiry_date
rx,MED050,Clopidogrel 75mg,10.00,400,TABLET,N/A,2027-05-20
rx,MED051,Enoxaparin 40mg,480.00,20,INJECTION,N/A,2026-04-16
rx,MED052,Heparin 5000 IU/ml,210.00,100,INJECTION,N/A,2028-01-25
rx,MED053,Nitrofurantoin 100mg,10.00,200,TABLET,N/A,2026-06-19
rx,MED054,Norfloxacin 400mg,6.00,200,TABLET,N/A,2027-03-28
otc,MED055,Bisacodyl 5mg,1.50,300,TABLET,false,2027-05-12
rx,MED056,Lactulose 10g/15ml,220.00,40,SYRUP,N/A,2026-03-18
otc,MED057,Multivitamin drops,65.00,50,SYRUP,false,2026-07-21
otc,MED058,Vitamin C 500mg,1.80,1000,TABLET,false,2027-10-27
otc,MED059,Calcium + Vitamin D3,7.00,800,TABLET,false,2027-08-27
rx,MED060,Iron + Folic Acid,4.50,600,TABLET,N/A,2027-10-27
rx,MED061,Mupirocin Ointment,115.00,50,TOPICAL,N/A,2026-05-02
rx,MED062,Fusidic Acid Cream,98.00,50,TOPICAL,N/A,2026-07-29
otc,MED063,Benzoyl Peroxide Gel,140.00,40,TOPICAL,false,2026-06-27
rx,MED064,Salbutamol 2mg,0.50,300,TABLET,N/A,2027-12-23
rx,MED065,Salbutamol 2mg/5ml,40.00,40,SYRUP,N/A,2027-08-23
rx,MED066,Alprazolam 0.25mg,3.00,100,TABLET,N/A,2026-05-19
rx,MED067,Diazepam 5mg/ml,22.00,30,INJECTION,N/A,2027-08-22
rx,MED068,Lorazepam 2mg,4.00,100,TABLET,N/A,2027-08-07
rx,MED069,Phenytoin 100mg,2.80,300,TABLET,N/A,2027-05-15
rx,MED070,Carbamazepine 200mg,4.50,300,TABLET,N/A,2026-06-16
rx,MED071,Valproic Acid 300mg,11.00,200,TABLET,N/A,2027-10-11
rx,MED072,Amitriptyline 25mg,3.50,200,TABLET,N/A,2027-06-14
rx,MED073,Sertraline 50mg,12.00,150,TABLET,N/A,2027-02-18
rx,MED074,Atenolol 50mg,4.00,400,TABLET,N/A,2027-01-03
rx,MED075,Metoprolol 25mg,5.50,400,TABLET,N/A,2026-08-15
rx,MED076,Digoxin 0.25mg,1.80,100,TABLET,N/A,2026-04-12
rx,MED077,Warfarin 5mg,4.50,100,TABLET,N/A,2027-08-24
rx,MED078,Levothyroxine 50mcg,2.80,900,TABLET,N/A,2027-02-06
rx,MED079,Glimepiride 2mg,4.50,600,TABLET,N/A,2026-10-27
rx,MED080,Spironolactone 25mg,5.00,200,TABLET,N/A,2027-07-27
rx,MED081,Adrenaline (1:1000),18.00,20,INJECTION,N/A,2028-01-07
rx,MED082,Atropine 0.6mg/ml,20.00,20,INJECTION,N/A,2027-09-20
otc,MED083,Lidocaine 2% Jelly,60.00,40,TOPICAL,false,2027-10-07
rx,MED084,Lidocaine 2%,35.00,50,INJECTION,N/A,2027-05-21
rx,MED085,Artemether + Lumefantrine,130.00,40,TABLET,N/A,2027-07-10
rx,MED086,Chloroquine 250mg,2.00,200,TABLET,N/A,2026-08-06
rx,MED087,Rifampicin 450mg,14.00,300,TABLET,N/A,2027-09-08
rx,MED088,Ethambutol 400mg,5.00,300,TABLET,N/A,2027-10-10
rx,MED089,Isoniazid 100mg,2.50,300,TABLET,N/A,2027-05-10
rx,MED090,Pyrazinamide 500mg,6.00,300,TABLET,N/A,2028-02-17
rx,MED091,Acyclovir 400mg,15.00,100,TABLET,N/A,2026-06-10
rx,MED092,Acyclovir Cream,120.00,30,TOPICAL,N/A,2026-06-08
rx,MED093,Tenofovir 300mg,28.00,100,TABLET,N/A,2027-05-11
rx,MED094,Tamsulosin 0.4mg,16.00,200,TABLET,N/A,2026-12-30
rx,MED095,Finasteride 5mg,20.00,100,TABLET,N/A,2026-07-14
rx,MED096,Sildenafil 50mg,28.00,100,TABLET,N/A,2026-08-08
rx,MED097,Baclofen 10mg,11.00,100,TABLET,N/A,2026-03-21
rx,MED098,Tramadol 50mg,10.00,100,TABLET,N/A,2027-12-24
rx,MED099,Tramadol 50mg/ml,32.00,12,INJECTION,N/A,2027-04-21
rx,MED100,Hydrochlorothiazide 12.5mg,2.50,300,TABLET,N/A,2027-06-13
otc,MED101,Ketoconazole 2%,145.00,40,TOPICAL,false,2026-03-14
otc,MED102,Calamine Lotion,90.00,50,TOPICAL,false,2028-02-12
otc,MED103,Iron Supplement,130.00,60,SYRUP,false,2026-06-27
